NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
BAÍA DA TRAIÇÃOPB,Baía da TraiçãoPB,Baía da Traição,PB,"2501401",-6.6904006,6° 41' 25.44'' S,-34.93355,34° 56' 0.79'' O,João Pessoa,Mamanguape - Rio Tinto
BANANEIRASPB,BananeirasPB,Bananeiras,PB,"2501500",-6.7443385,6° 44' 39.62'' S,-35.63092,35° 37' 51.32'' O,João Pessoa,Guarabira
BARAÚNAPB,BaraúnaPB,Baraúna,PB,"2501534",-6.642515,6° 38' 33.06'' S,-36.25505,36° 15' 18.18'' O,Campina Grande,Cuité - Nova Floresta
BARRA DE SANTANAPB,Barra de SantanaPB,Barra de Santana,PB,"2501575",-7.522399,7° 31' 20.64'' S,-35.997005,35° 59' 49.22'' O,Campina Grande,Campina Grande
BARRA DE SANTA ROSAPB,Barra de Santa RosaPB,Barra de Santa Rosa,PB,"2501609",-6.716696,6° 43' 0.11'' S,-36.059826,36° 3' 35.38'' O,Campina Grande,Cuité - Nova Floresta
BARRA DE SÃO MIGUELPB,Barra de São MiguelPB,Barra de São Miguel,PB,"2501708",-7.7526984,7° 45' 9.72'' S,-36.316673,36° 19' 0.02'' O,Campina Grande,Campina Grande
BAYEUXPB,BayeuxPB,Bayeux,PB,"2501807",-7.1282325,7° 7' 41.64'' S,-34.925636,34° 55' 32.29'' O,João Pessoa,João Pessoa
BELÉMPB,BelémPB,Belém,PB,"2501906",-6.6943383,6° 41' 39.62'' S,-35.537117,35° 32' 13.63'' O,João Pessoa,Guarabira
BELÉM DO BREJO DO CRUZPB,Belém do Brejo do CruzPB,Belém do Brejo do Cruz,PB,"2502003",-6.1907125,6° 11' 26.56'' S,-37.53735,37° 32' 14.47'' O,Patos,Catolé do Rocha - São Bento
BERNARDINO BATISTAPB,Bernardino BatistaPB,Bernardino Batista,PB,"2502052",-6.4518447,6° 27' 6.64'' S,-38.550713,38° 33' 2.56'' O,Sousa - Cajazeiras,Sousa
BOA VENTURAPB,Boa VenturaPB,Boa Ventura,PB,"2502102",-7.416034,7° 24' 57.72'' S,-38.21693,38° 13' 0.95'' O,Patos,Itaporanga
BOA VISTAPB,Boa VistaPB,Boa Vista,PB,"2502151",-7.2635098,7° 15' 48.64'' S,-36.24139,36° 14' 29.01'' O,Campina Grande,Campina Grande
BOM JESUSPB,Bom JesusPB,Bom Jesus,PB,"2502201",-6.8151355,6° 48' 54.49'' S,-38.655216,38° 39' 18.78'' O,Sousa - Cajazeiras,Cajazeiras
BOM SUCESSOPB,Bom SucessoPB,Bom Sucesso,PB,"2502300",-6.4464655,6° 26' 47.28'' S,-37.929806,37° 55' 47.3'' O,Patos,Catolé do Rocha - São Bento
BONITO DE SANTA FÉPB,Bonito de Santa FéPB,Bonito de Santa Fé,PB,"2502409",-7.312491,7° 18' 44.97'' S,-38.514526,38° 30' 52.3'' O,Sousa - Cajazeiras,Cajazeiras
BOQUEIRÃOPB,BoqueirãoPB,Boqueirão,PB,"2502508",-7.4826355,7° 28' 57.49'' S,-36.132313,36° 7' 56.32'' O,Campina Grande,Campina Grande
IGARACYPB,IgaracyPB,Igaracy,PB,"2502607",-7.1807084,7° 10' 50.55'' S,-38.149952,38° 8' 59.83'' O,Patos,Itaporanga
BORBOREMAPB,BorboremaPB,Borborema,PB,"2502706",-6.806093,6° 48' 21.94'' S,-35.59947,35° 35' 58.09'' O,João Pessoa,Guarabira
BREJO DO CRUZPB,Brejo do CruzPB,Brejo do Cruz,PB,"2502805",-6.3479304,6° 20' 52.55'' S,-37.502666,37° 30' 9.6'' O,Patos,Catolé do Rocha - São Bento
BREJO DOS SANTOSPB,Brejo dos SantosPB,Brejo dos Santos,PB,"2502904",-6.3773966,6° 22' 38.63'' S,-37.823887,37° 49' 25.99'' O,Patos,Catolé do Rocha - São Bento
CAAPORÃPB,CaaporãPB,Caaporã,PB,"2503001",-7.514271,7° 30' 51.38'' S,-34.916176,34° 54' 58.23'' O,João Pessoa,João Pessoa
CABACEIRASPB,CabaceirasPB,Cabaceiras,PB,"2503100",-7.4918723,7° 29' 30.74'' S,-36.28813,36° 17' 17.27'' O,Campina Grande,Campina Grande
CABEDELOPB,CabedeloPB,Cabedelo,PB,"2503209",-6.9718213,6° 58' 18.56'' S,-34.83312,34° 49' 59.22'' O,João Pessoa,João Pessoa
CACHOEIRA DOS ÍNDIOSPB,Cachoeira dos ÍndiosPB,Cachoeira dos Índios,PB,"2503308",-6.926625,6° 55' 35.85'' S,-38.67352,38° 40' 24.67'' O,Sousa - Cajazeiras,Cajazeiras
CACIMBA DE AREIAPB,Cacimba de AreiaPB,Cacimba de Areia,PB,"2503407",-7.1287904,7° 7' 43.64'' S,-37.156593,37° 9' 23.73'' O,Patos,Patos
CACIMBA DE DENTROPB,Cacimba de DentroPB,Cacimba de Dentro,PB,"2503506",-6.6399245,6° 38' 23.73'' S,-35.793503,35° 47' 36.61'' O,João Pessoa,Guarabira
CACIMBASPB,CacimbasPB,Cacimbas,PB,"2503555",-7.211602,7° 12' 41.77'' S,-37.057423,37° 3' 26.72'' O,Patos,Patos
CAIÇARAPB,CaiçaraPB,Caiçara,PB,"2503605",-6.615208,6° 36' 54.75'' S,-35.468197,35° 28' 5.51'' O,João Pessoa,Guarabira
CAJAZEIRASPB,CajazeirasPB,Cajazeiras,PB,"2503704",-6.886863,6° 53' 12.71'' S,-38.561897,38° 33' 42.83'' O,Sousa - Cajazeiras,Cajazeiras
CAJAZEIRINHASPB,CajazeirinhasPB,Cajazeirinhas,PB,"2503753",-6.9652014,6° 57' 54.73'' S,-37.799427,37° 47' 57.94'' O,Patos,Pombal
CALDAS BRANDÃOPB,Caldas BrandãoPB,Caldas Brandão,PB,"2503803",-7.168981,7° 10' 8.33'' S,-35.34302,35° 20' 34.88'' O,João Pessoa,João Pessoa
CAMALAÚPB,CamalaúPB,Camalaú,PB,"2503902",-7.8898067,7° 53' 23.3'' S,-36.82572,36° 49' 32.61'' O,Campina Grande,Monteiro
CAMPINA GRANDEPB,Campina GrandePB,Campina Grande,PB,"2504009",-7.2330875,7° 13' 59.11'' S,-35.890812,35° 53' 26.92'' O,Campina Grande,Campina Grande
CAPIMPB,CapimPB,Capim,PB,"2504033",-6.9201903,6° 55' 12.68'' S,-35.166946,35° 10' 1.01'' O,João Pessoa,Mamanguape - Rio Tinto
CARAÚBASPB,CaraúbasPB,Caraúbas,PB,"2504074",-7.72829,7° 43' 41.84'' S,-36.49348,36° 29' 36.53'' O,Campina Grande,Campina Grande
CARRAPATEIRAPB,CarrapateiraPB,Carrapateira,PB,"2504108",-7.038383,7° 2' 18.18'' S,-38.34444,38° 20' 39.98'' O,Sousa - Cajazeiras,Cajazeiras
CASSERENGUEPB,CasserenguePB,Casserengue,PB,"2504157",-6.7815604,6° 46' 53.62'' S,-35.818558,35° 49' 6.81'' O,João Pessoa,Guarabira
CATINGUEIRAPB,CatingueiraPB,Catingueira,PB,"2504207",-7.1257424,7° 7' 32.67'' S,-37.608536,37° 36' 30.73'' O,Patos,Patos
CATOLÉ DO ROCHAPB,Catolé do RochaPB,Catolé do Rocha,PB,"2504306",-6.342303,6° 20' 32.29'' S,-37.745083,37° 44' 42.3'' O,Patos,Catolé do Rocha - São Bento
CATURITÉPB,CaturitéPB,Caturité,PB,"2504355",-7.420012,7° 25' 12.04'' S,-36.02093,36° 1' 15.35'' O,Campina Grande,Campina Grande
CONCEIÇÃOPB,ConceiçãoPB,Conceição,PB,"2504405",-7.5607743,7° 33' 38.79'' S,-38.508896,38° 30' 32.03'' O,Patos,Itaporanga
CONDADOPB,CondadoPB,Condado,PB,"2504504",-6.9102106,6° 54' 36.76'' S,-37.600056,37° 36' 0.2'' O,Patos,Pombal
CONDEPB,CondePB,Conde,PB,"2504603",-7.2595663,7° 15' 34.44'' S,-34.9125,34° 54' 44.99'' O,João Pessoa,João Pessoa
CONGOPB,CongoPB,Congo,PB,"2504702",-7.797734,7° 47' 51.84'' S,-36.660442,36° 39' 37.59'' O,Campina Grande,Sumé
COREMASPB,CoremasPB,Coremas,PB,"2504801",-7.018393,7° 1' 6.21'' S,-37.944897,37° 56' 41.63'' O,Patos,Patos
COXIXOLAPB,CoxixolaPB,Coxixola,PB,"2504850",-7.626323,7° 37' 34.76'' S,-36.605106,36° 36' 18.38'' O,Campina Grande,Sumé
CRUZ DO ESPÍRITO SANTOPB,Cruz do Espírito SantoPB,Cruz do Espírito Santo,PB,"2504900",-7.138414,7° 8' 18.29'' S,-35.086464,35° 5' 11.28'' O,João Pessoa,João Pessoa
CUBATIPB,CubatiPB,Cubati,PB,"2505006",-6.8648796,6° 51' 53.57'' S,-36.352276,36° 21' 8.2'' O,Campina Grande,Campina Grande
CUITÉPB,CuitéPB,Cuité,PB,"2505105",-6.485731,6° 29' 8.63'' S,-36.154907,36° 9' 17.66'' O,Campina Grande,Cuité - Nova Floresta
CUITEGIPB,CuitegiPB,Cuitegi,PB,"2505204",-6.8960133,6° 53' 45.65'' S,-35.52267,35° 31' 21.61'' O,João Pessoa,Guarabira
CUITÉ DE MAMANGUAPEPB,Cuité de MamanguapePB,Cuité de Mamanguape,PB,"2505238",-6.91514,6° 54' 54.5'' S,-35.250816,35° 15' 2.95'' O,João Pessoa,João Pessoa
CURRAL DE CIMAPB,Curral de CimaPB,Curral de Cima,PB,"2505279",-6.716736,6° 43' 0.25'' S,-35.267105,35° 16' 1.58'' O,João Pessoa,Mamanguape - Rio Tinto
CURRAL VELHOPB,Curral VelhoPB,Curral Velho,PB,"2505303",-7.5372276,7° 32' 14.02'' S,-38.197155,38° 11' 49.75'' O,Patos,Itaporanga
DAMIÃOPB,DamiãoPB,Damião,PB,"2505352",-6.6317983,6° 37' 54.47'' S,-35.90518,35° 54' 18.65'' O,Campina Grande,Cuité - Nova Floresta
DESTERROPB,DesterroPB,Desterro,PB,"2505402",-7.287888,7° 17' 16.4'' S,-37.0864,37° 5' 11.04'' O,Patos,Patos
VISTA SERRANAPB,Vista SerranaPB,Vista Serrana,PB,"2505501",-6.738709,6° 44' 19.35'' S,-37.567406,37° 34' 2.66'' O,Patos,Patos
DIAMANTEPB,DiamantePB,Diamante,PB,"2505600",-7.4267383,7° 25' 36.26'' S,-38.262352,38° 15' 44.47'' O,Patos,Itaporanga
DONA INÊSPB,Dona InêsPB,Dona Inês,PB,"2505709",-6.603214,6° 36' 11.57'' S,-35.627445,35° 37' 38.8'' O,João Pessoa,Guarabira
